OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Description
K05847	6164.0	8281.0	7739.0	7492.0	6381.0	7200.0	7284.0	7494.0	6889.0	6351.0	7377.0	7572.0	7850.0	7210.0	7833.0	7943.0	8224.0	7525.0	osmoprotectant transport system ATP-binding protein
K00508	3798.0	5011.0	5233.0	4278.0	3722.0	4751.0	3779.0	4896.0	4807.0	4023.0	4302.0	4007.0	4451.0	4449.0	4717.0	4649.0	4809.0	4543.0	linoleoyl-CoA desaturase [EC:1.14.19.3]
K00500	6452.0	4575.0	6773.0	6756.0	9447.0	6742.0	4684.0	4623.0	5562.0	5796.0	5667.0	4739.0	6317.0	8151.0	6104.0	6451.0	6923.0	6226.0	phenylalanine-4-hydroxylase [EC:1.14.16.1]
K00507	12220.0	11731.0	12470.0	12955.0	14153.0	13605.0	13006.0	11196.0	12287.0	11885.0	13469.0	13053.0	15027.0	16626.0	14690.0	14580.0	16190.0	13437.0	stearoyl-CoA desaturase (delta-9 desaturase) [EC:1.14.19.1]
K00504	68.0	70.0	57.0	45.0	38.0	57.0	108.0	70.0	68.0	58.0	61.0	82.0	63.0	52.0	89.0	85.0	47.0	71.0	peptidylglycine monooxygenase [EC:1.14.17.3]
K00505	255.0	276.0	334.0	237.0	122.0	203.0	222.0	331.0	680.0	464.0	250.0	339.0	381.0	313.0	289.0	500.0	480.0	316.0	tyrosinase [EC:1.14.18.1]
K12521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	minor pilin subunit PapF
K01101	503.0	578.0	661.0	651.0	911.0	676.0	602.0	708.0	441.0	532.0	497.0	569.0	491.0	440.0	480.0	459.0	522.0	550.0	4-nitrophenyl phosphatase [EC:3.1.3.41]
K01103	4376.0	2758.0	4029.0	4205.0	6045.0	4147.0	2711.0	2348.0	3361.0	3691.0	3294.0	2524.0	4176.0	5685.0	3735.0	3931.0	4360.0	3724.0	6-phosphofructo-2-kinase / fructose-2,6-bisphosphatase [EC:2.7.1.105 3.1.3.46];fructose-2,6-bisphosphatase [EC:3.1.3.46]
K12520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	minor pilin subunit PapE
K01104	20149.0	20771.0	22250.0	21037.0	23138.0	21063.0	19956.0	20062.0	20746.0	19820.0	20740.0	19810.0	22424.0	24256.0	22760.0	22677.0	23689.0	22068.0	protein-tyrosine phosphatase [EC:3.1.3.48]
K05592	7183.0	8309.0	8820.0	8031.0	7574.0	8575.0	8898.0	8710.0	7871.0	7435.0	8600.0	8812.0	8301.0	8487.0	9076.0	8290.0	8639.0	8636.0	ATP-dependent RNA helicase DeaD [EC:3.6.4.13];ATP-dependent RNA helicase DeaD
K05593	77.0	70.0	62.0	52.0	38.0	81.0	206.0	94.0	130.0	128.0	91.0	139.0	80.0	90.0	87.0	89.0	70.0	71.0	aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]
K05590	0.0	0.0	1.0	1.0	0.0	0.0	41.0	1.0	0.0	27.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	2.0	ATP-dependent RNA helicase SrmB [EC:2.7.7.-]
K05591	5730.0	3691.0	5269.0	5827.0	8097.0	5930.0	3696.0	3365.0	4613.0	4866.0	4614.0	3862.0	5434.0	7231.0	4987.0	5388.0	5865.0	5108.0	ATP-independent RNA helicase DbpA [EC:3.6.4.13];ATP-independent RNA helicase DbpA
K05596	8890.0	7568.0	9295.0	9722.0	12187.0	9600.0	5808.0	5962.0	7708.0	7601.0	7593.0	6188.0	8916.0	10733.0	8177.0	8711.0	9905.0	8074.0	LysR family transcriptional regulator, chromosome initiation inhibitor
K05597	3947.0	2338.0	3686.0	3847.0	5829.0	3552.0	2334.0	2111.0	3070.0	3389.0	3005.0	2268.0	3846.0	5359.0	3323.0	3578.0	4052.0	3360.0	glutamin-(asparagin-)ase [EC:3.5.1.38]
K05594	0.0	0.0	1.0	1.0	0.0	0.0	40.0	0.0	0.0	26.0	0.0	24.0	0.0	0.0	0.0	1.0	0.0	2.0	ElaB protein
K05595	10041.0	9267.0	11937.0	10595.0	13575.0	10955.0	9544.0	9566.0	10440.0	9889.0	10248.0	9584.0	11233.0	12885.0	10998.0	10832.0	12290.0	11042.0	multiple antibiotic resistance protein
K05599	8.0	10.0	11.0	10.0	32.0	13.0	31.0	48.0	17.0	99.0	32.0	87.0	5.0	6.0	9.0	11.0	34.0	17.0	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]
K11964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	pellino
K11962	22.0	65.0	99.0	21.0	86.0	101.0	652.0	483.0	401.0	193.0	639.0	772.0	731.0	716.0	551.0	404.0	828.0	220.0	urea transport system ATP-binding protein
K14540	1916.0	1583.0	1847.0	2163.0	2560.0	2646.0	2080.0	1745.0	2127.0	1758.0	2189.0	2197.0	2486.0	2674.0	2296.0	2202.0	2663.0	1944.0	ribosome biogenesis GTPase A
K12529	350.0	534.0	644.0	459.0	404.0	480.0	294.0	526.0	356.0	303.0	442.0	364.0	328.0	302.0	442.0	433.0	371.0	370.0	putative selenate reductase FAD-binding subunit
K12528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	putative selenate reductase molybdopterin-binding subunit
K06353	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	phosphatase RapC regulator
K02456	22141.0	16167.0	21910.0	23581.0	29248.0	25257.0	16009.0	13384.0	18976.0	18285.0	18264.0	16448.0	21300.0	26871.0	20473.0	20474.0	21783.0	20172.0	general secretion pathway protein G
K02457	7825.0	6051.0	8106.0	8235.0	10346.0	8476.0	6260.0	5632.0	6547.0	6892.0	7202.0	6351.0	7358.0	9364.0	7669.0	7864.0	8085.0	7627.0	general secretion pathway protein H
K02454	21972.0	15383.0	21125.0	22677.0	29427.0	23537.0	15645.0	13555.0	18538.0	18771.0	18406.0	15813.0	21200.0	27701.0	20282.0	21000.0	22444.0	20254.0	general secretion pathway protein E
K02455	13345.0	10112.0	13548.0	14218.0	17469.0	15139.0	10101.0	8485.0	11286.0	11251.0	11356.0	10129.0	12524.0	15657.0	12477.0	12624.0	13211.0	12570.0	general secretion pathway protein F
K02452	7277.0	5287.0	6747.0	7275.0	9476.0	8090.0	5306.0	4681.0	5740.0	6453.0	5982.0	5181.0	6776.0	8564.0	6513.0	6671.0	7179.0	6409.0	general secretion pathway protein C
K02453	16632.0	12023.0	16314.0	17293.0	21838.0	18275.0	12453.0	10448.0	14177.0	14176.0	14153.0	12445.0	16086.0	20693.0	15702.0	15819.0	16753.0	15560.0	general secretion pathway protein D
K02450	4637.0	2858.0	4244.0	4674.0	6757.0	4611.0	2804.0	2562.0	3835.0	3951.0	3615.0	2886.0	4598.0	6253.0	4004.0	4420.0	4862.0	3951.0	general secretion pathway protein A
K02103	35.0	37.0	34.0	189.0	21.0	64.0	121.0	100.0	65.0	100.0	83.0	138.0	64.0	34.0	77.0	47.0	33.0	43.0	GntR family transcriptional regulator, arabinose operon transcriptional repressor
K08138	23.0	24.0	22.0	39.0	26.0	44.0	45.0	19.0	29.0	17.0	41.0	29.0	21.0	33.0	12.0	25.0	27.0	14.0	MFS transporter, SP family, xylose:H+ symportor
K02108	13129.0	12917.0	14876.0	14153.0	15973.0	14487.0	12964.0	12610.0	13153.0	12630.0	13656.0	13011.0	14385.0	16147.0	14780.0	14636.0	15368.0	14416.0	F-type H+-transporting ATPase subunit a [EC:3.6.3.14]
K02109	15951.0	15768.0	18608.0	17244.0	19574.0	18149.0	16688.0	15577.0	15776.0	15245.0	17188.0	16553.0	17456.0	19485.0	18186.0	17916.0	18896.0	17545.0	F-type H+-transporting ATPase subunit b [EC:3.6.3.14]
K02458	7912.0	5905.0	7672.0	8126.0	10294.0	8591.0	6351.0	5476.0	6554.0	7038.0	7133.0	6338.0	7463.0	9513.0	7580.0	7805.0	8140.0	7619.0	general secretion pathway protein I
K02459	7865.0	5848.0	7600.0	8049.0	10150.0	8500.0	6273.0	5358.0	6475.0	6966.0	7027.0	6237.0	7371.0	9364.0	7514.0	7743.0	8041.0	7572.0	general secretion pathway protein J
K08137	2.0	0.0	1.0	1.0	1.0	0.0	63.0	1.0	1.0	28.0	1.0	27.0	1.0	1.0	1.0	1.0	2.0	2.0	MFS transporter, SP family, galactose:H+ symporter
K03851	5.0	1.0	2.0	2.0	1.0	1.0	2.0	3.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	taurine-pyruvate aminotransferase [EC:2.6.1.77]
K03850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	alpha-1,2-glucosyltransferase [EC:2.4.1.-];alpha-1,2-glucosyltransferase [EC:2.4.1.256]
K03852	186.0	358.0	244.0	239.0	250.0	291.0	126.0	156.0	142.0	186.0	222.0	145.0	234.0	261.0	179.0	315.0	557.0	176.0	sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]
K03855	2312.0	2123.0	2761.0	2561.0	3144.0	2564.0	2015.0	1570.0	1789.0	1863.0	1950.0	1815.0	1936.0	2150.0	1978.0	1918.0	1987.0	2089.0	ferredoxin like protein
K03856	1587.0	2230.0	1718.0	1784.0	1448.0	1882.0	3228.0	3037.0	2381.0	1989.0	2909.0	3435.0	2742.0	2478.0	2889.0	2541.0	2644.0	2146.0	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K13018	1386.0	1031.0	1584.0	1503.0	2122.0	1441.0	785.0	601.0	967.0	984.0	926.0	743.0	1115.0	1292.0	984.0	1007.0	1139.0	1075.0	UDP-D-GlcNAc3NA acetyltransferase [EC:2.3.1.-]
K13019	18.0	19.0	27.0	21.0	29.0	19.0	40.0	42.0	43.0	46.0	32.0	33.0	36.0	44.0	49.0	42.0	24.0	43.0	UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]
K13010	3410.0	2164.0	2743.0	2994.0	4291.0	3073.0	2442.0	2131.0	2769.0	3044.0	2818.0	2212.0	3485.0	4775.0	3225.0	3274.0	3567.0	3079.0	perosamine synthetase
K13011	148.0	144.0	148.0	118.0	160.0	167.0	114.0	68.0	68.0	78.0	128.0	93.0	104.0	138.0	103.0	108.0	109.0	119.0	O-antigen biosynthesis protein WbqL
K13012	913.0	754.0	779.0	1040.0	1157.0	1362.0	676.0	531.0	819.0	722.0	763.0	756.0	835.0	1062.0	756.0	919.0	951.0	717.0	O-antigen biosynthesis protein WbqP
K13013	836.0	849.0	979.0	871.0	891.0	976.0	926.0	694.0	642.0	658.0	897.0	843.0	672.0	729.0	819.0	833.0	763.0	847.0	O-antigen biosynthesis protein WbqV
K13014	8.0	11.0	11.0	11.0	33.0	13.0	74.0	53.0	18.0	130.0	34.0	113.0	6.0	6.0	9.0	12.0	34.0	19.0	undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.-.-]
K13015	1687.0	1990.0	1731.0	1566.0	1400.0	1972.0	1981.0	2080.0	2198.0	1825.0	1887.0	2084.0	1870.0	1696.0	2150.0	1972.0	1883.0	1875.0	UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.-]
K13016	30.0	18.0	21.0	19.0	36.0	30.0	24.0	48.0	36.0	39.0	31.0	21.0	15.0	13.0	24.0	22.0	21.0	27.0	UDP-D-GlcNAcA oxidase [EC:1.1.1.-]
K13017	1294.0	948.0	1547.0	1450.0	2067.0	1385.0	649.0	514.0	880.0	913.0	827.0	636.0	1022.0	1221.0	880.0	946.0	1058.0	987.0	UDP-3-keto-D-GlcNAcA aminotransferase [EC:2.6.1.-]
K08566	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	18.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	plasminogen activator [EC:3.4.23.48]
K08567	676.0	673.0	543.0	606.0	428.0	889.0	628.0	483.0	502.0	648.0	545.0	595.0	534.0	561.0	661.0	681.0	573.0	590.0	hydrogenase 2 maturation protease [EC:3.4.24.-]
K13274	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	2.0	2.0	1.0	5.0	3.0	1.0	0.0	0.0	1.0	1.0	cell wall-associated protease [EC:3.4.21.-]
K13275	36.0	33.0	22.0	22.0	21.0	31.0	137.0	49.0	60.0	76.0	37.0	123.0	19.0	10.0	22.0	19.0	14.0	24.0	major intracellular serine protease [EC:3.4.21.-]
K13276	29.0	26.0	14.0	19.0	14.0	22.0	85.0	36.0	51.0	50.0	28.0	90.0	15.0	8.0	18.0	13.0	11.0	22.0	bacillopeptidase F [EC:3.4.21.-]
K13277	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	1.0	minor extracellular protease Epr [EC:3.4.21.-]
K03275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
K03274	1663.0	1584.0	1724.0	1638.0	1758.0	1920.0	1719.0	1376.0	1471.0	1583.0	1749.0	1695.0	1471.0	1645.0	1882.0	1920.0	1581.0	1753.0	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K03277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	heptosyltransferase IV [EC:2.4.-.-]
K03276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase [EC:2.4.1.-]
K03271	9636.0	8933.0	9423.0	10020.0	11788.0	10054.0	8781.0	8117.0	8963.0	8943.0	9070.0	8607.0	10433.0	11905.0	10468.0	10375.0	10756.0	10036.0	phosphoheptose isomerase [EC:5.-.-.-]
K03270	8242.0	6112.0	8007.0	8136.0	10577.0	8665.0	7102.0	6354.0	7796.0	7739.0	7591.0	7068.0	8348.0	10312.0	8641.0	8290.0	8610.0	8389.0	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K03273	7588.0	5621.0	7120.0	7370.0	9819.0	7848.0	6904.0	5707.0	6884.0	6835.0	7294.0	6910.0	8103.0	9961.0	8106.0	7873.0	8499.0	7496.0	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.-]
K03272	3098.0	3701.0	3422.0	3204.0	2972.0	3214.0	4412.0	3844.0	3113.0	3193.0	3769.0	4179.0	3322.0	3253.0	4269.0	3766.0	3142.0	3780.0	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.- 2.7.7.-]
K03279	0.0	0.0	0.0	1.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]
K03278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase [EC:2.4.1.44]
K11022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	structural toxin protein (hemagglutinin/hemolysin) RtxA
K12277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MSHA biogenesis protein MshF
K12276	1671.0	1173.0	1816.0	1941.0	2476.0	2046.0	779.0	656.0	1306.0	1212.0	1045.0	889.0	1458.0	1852.0	1146.0	1327.0	1467.0	1192.0	MSHA biogenesis protein MshE
K12270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	accessory secretory protein Asp3
K11058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	enterotoxin Cpe
K12279	1671.0	1173.0	1816.0	1941.0	2476.0	2046.0	779.0	656.0	1306.0	1212.0	1045.0	889.0	1458.0	1852.0	1146.0	1327.0	1467.0	1192.0	MSHA biogenesis protein MshI
K12278	1671.0	1173.0	1816.0	1941.0	2476.0	2046.0	779.0	656.0	1306.0	1212.0	1045.0	889.0	1458.0	1852.0	1146.0	1327.0	1467.0	1192.0	MSHA biogenesis protein MshG
K07557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	archaeosine tRNA-ribosyltransferase [EC:2.4.2.-]
K07550	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	benzoylsuccinyl-CoA thiolase BbsB subunit [EC:2.3.1.-]
K07552	19560.0	17623.0	21540.0	21307.0	25857.0	21432.0	16246.0	15200.0	17283.0	17374.0	18306.0	16008.0	19413.0	23071.0	19302.0	20246.0	21742.0	19562.0	MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein
K06319	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	spore maturation protein CgeA
K09909	10.0	5.0	13.0	11.0	24.0	12.0	50.0	10.0	15.0	43.0	11.0	35.0	24.0	17.0	12.0	14.0	17.0	16.0	hypothetical protein
K09908	47.0	23.0	38.0	30.0	111.0	35.0	100.0	181.0	94.0	192.0	81.0	149.0	45.0	31.0	66.0	30.0	86.0	65.0	hypothetical protein
K12051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ComB7 competence protein
K12050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ComB8 competence protein
K12057	2994.0	1716.0	2661.0	2782.0	4295.0	2627.0	2007.0	1912.0	2445.0	2759.0	2549.0	1850.0	3077.0	4478.0	2787.0	3018.0	3361.0	2787.0	conjugal transfer pilus assembly protein TraF
K12056	2960.0	1693.0	2638.0	2768.0	4273.0	2612.0	1944.0	1868.0	2409.0	2693.0	2523.0	1840.0	3061.0	4439.0	2752.0	2994.0	3320.0	2737.0	conjugal transfer mating pair stabilization protein TraG
K06221	1018.0	1631.0	1253.0	1028.0	641.0	916.0	1122.0	1345.0	1193.0	1010.0	1112.0	1095.0	1148.0	1128.0	1330.0	1232.0	1218.0	1269.0	2,5-diketo-D-gluconate reductase A [EC:1.1.1.274]
K09900	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	hypothetical protein
K09903	13007.0	12922.0	14793.0	13988.0	15819.0	14281.0	12946.0	12569.0	13084.0	12543.0	13552.0	12882.0	14344.0	16087.0	14691.0	14489.0	15320.0	14373.0	uridylate kinase [EC:2.7.4.22]
K09902	380.0	276.0	391.0	450.0	568.0	516.0	353.0	455.0	426.0	467.0	550.0	500.0	347.0	396.0	419.0	453.0	495.0	502.0	hypothetical protein
K09904	0.0	0.0	1.0	1.0	0.0	0.0	41.0	1.0	0.0	27.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	2.0	hypothetical protein
K09907	0.0	0.0	1.0	1.0	0.0	0.0	41.0	1.0	0.0	27.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	2.0	hypothetical protein
K09906	34.0	12.0	28.0	17.0	39.0	26.0	68.0	48.0	87.0	87.0	25.0	49.0	61.0	36.0	41.0	29.0	27.0	35.0	hypothetical protein
K11501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	centromere protein I
K03234	1.0	3.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	0.0	1.0	6.0	3.0	0.0	2.0	3.0	2.0	3.0	elongation factor EF-2 [EC:3.6.5.3];elongation factor 2
K00773	11037.0	9389.0	11878.0	11433.0	14228.0	12183.0	10960.0	9926.0	10554.0	10490.0	11167.0	10777.0	11654.0	13693.0	12075.0	11627.0	12300.0	11611.0	queuine tRNA-ribosyltransferase [EC:2.4.2.29]
K00772	6828.0	7070.0	8001.0	7119.0	7576.0	7905.0	7420.0	6740.0	7017.0	6395.0	7496.0	7469.0	7145.0	7446.0	8056.0	7681.0	7746.0	7561.0	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
K00777	2680.0	1420.0	2162.0	2418.0	3792.0	2190.0	1700.0	1611.0	2228.0	2423.0	2199.0	1585.0	2851.0	4187.0	2507.0	2661.0	2985.0	2420.0	None
K00776	0.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	NAD-diphthamide ADP-ribosyltransferase [EC:2.4.2.36]
K06313	64.0	64.0	55.0	131.0	33.0	70.0	177.0	102.0	93.0	116.0	76.0	169.0	37.0	20.0	49.0	43.0	29.0	51.0	spore germination protein
K06315	27.0	23.0	11.0	15.0	13.0	20.0	76.0	34.0	47.0	47.0	26.0	86.0	14.0	7.0	16.0	12.0	10.0	19.0	transcriptional regulator of the spore photoproduct lyase operon
K05574	24.0	68.0	99.0	22.0	87.0	101.0	656.0	492.0	403.0	195.0	642.0	780.0	735.0	716.0	553.0	408.0	832.0	225.0	NADH dehydrogenase I subunit 3 [EC:1.6.5.3];NAD(P)H-quinone oxidoreductase subunit 3 [EC:1.6.5.3]
K10201	933.0	1555.0	1066.0	947.0	553.0	976.0	876.0	1192.0	1614.0	1018.0	1049.0	952.0	1261.0	1068.0	1106.0	1260.0	1494.0	1193.0	N-acetylglucosamine transport system permease protein
K07176	1.0	3.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	0.0	1.0	6.0	3.0	0.0	2.0	3.0	2.0	3.0	putative serine/threonine protein kinase
K07177	2887.0	4777.0	3893.0	3530.0	2216.0	3053.0	3275.0	4021.0	4023.0	3222.0	3474.0	3460.0	3947.0	3259.0	3833.0	3985.0	4143.0	3844.0	PDZ domain-containing protein
K07174	1.0	3.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	0.0	1.0	6.0	3.0	0.0	2.0	3.0	2.0	3.0	Mn2+-dependent serine/threonine protein kinase [EC:2.7.1.-]
K07175	12124.0	10386.0	12142.0	12534.0	15181.0	11983.0	9678.0	9613.0	11308.0	11225.0	11268.0	9725.0	12951.0	15893.0	12676.0	12965.0	13713.0	12507.0	PhoH-like ATPase
K07172	682.0	635.0	1031.0	836.0	1364.0	1035.0	1272.0	1110.0	951.0	802.0	1376.0	1449.0	1330.0	1393.0	1313.0	1030.0	1553.0	899.0	None
K07173	151.0	132.0	100.0	84.0	92.0	97.0	281.0	120.0	145.0	166.0	141.0	267.0	100.0	44.0	115.0	88.0	84.0	136.0	S-ribosylhomocysteine lyase [EC:4.4.1.21]
K07170	1791.0	1613.0	2404.0	2161.0	2507.0	2166.0	1977.0	2088.0	1950.0	2063.0	1953.0	1886.0	1838.0	2070.0	2018.0	2020.0	1978.0	2262.0	GAF domain-containing protein
K07171	3478.0	4827.0	4951.0	4424.0	4163.0	4053.0	5547.0	5417.0	4545.0	4074.0	5482.0	5992.0	5512.0	5178.0	5517.0	4979.0	5519.0	4706.0	None
K07178	6976.0	6234.0	7352.0	7674.0	9279.0	7452.0	4915.0	5137.0	6273.0	6096.0	6354.0	5115.0	7350.0	8847.0	6878.0	7209.0	8149.0	6990.0	RIO kinase 1 [EC:2.7.11.1]
K07179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RIO kinase 2 [EC:2.7.11.1]
K00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	acetyl-CoA decarbonylase/synthase complex subunit epsilon;carbon-monoxide dehydrogenase epsilon subunit [EC:1.2.99.2]
K00194	200.0	206.0	122.0	184.0	77.0	160.0	358.0	262.0	209.0	231.0	265.0	320.0	228.0	170.0	250.0	262.0	187.0	257.0	acetyl-CoA decarbonylase/synthase complex subunit delta;carbon-monoxide dehydrogenase delta subunit [EC:1.2.99.2]
K00197	270.0	290.0	232.0	331.0	326.0	250.0	483.0	346.0	288.0	352.0	361.0	400.0	350.0	389.0	365.0	365.0	315.0	344.0	carbon-monoxide dehydrogenase gamma subunit [EC:1.2.99.2];acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.-]
